Driver_id,Driver_Name,Driver_License_No,Date_of_Birth,Contact_number,Rating,Cab_location,Current_status,Driver_Car_Number
56133405,"Matteo Bennellick",6457567567,2014-05-06,5479909371,7,"430 David Street",TRUE,9838663964
231663498,"Elisabeth Domenichelli",3634565335,2018-10-14,6908150747,3,"2417 Anderson Alley",FALSE,6694212283
397184204,"Gertrude Oxenbury",333333,2011-11-12,6270433401,5,"85696 Graedel Place",TRUE,3940377678
453605419,"Tomkin Higgonet",777643333,2004-03-11,3947251440,3,"84676 Coolidge Pass",TRUE,3830384408
455852200,"Christoph Erridge",5656745764,2014-12-18,3928254898,1,"36 Everett Alley",FALSE,9543016275
472878786,"Liliane Micklewright",55656565,2004-11-15,7087706446,1,"094 Lyons Place",TRUE,5668955419
558227279,"Javier Ronisch",53653375,2004-12-12,7295193391,6,"911 Jenifer Drive",FALSE,4808165457
623626160,"Raddy McKinn",555666666,2200-09-19,1739520351,10,"40976 Shelley Center",TRUE,1271345889
630808341,"Kellina Lyfe",6546765464,2002-04-19,2579397167,8,"62457 Clove Plaza",TRUE,4663663508
1137398825,"Aldo Traynor",8665555555,2021-01-01,8937221780,9,"5 Oneill Trail",TRUE,2526140943
1158270291,"Whitaker Dunan",7543637375543,2010-12-19,2923169190,8,"79160 Mitchell Terrace",FALSE,7368946823
1218621621,"Rachael Ollarenshaw",436345653,2005-03-13,2539605249,8,"110 Loftsgordon Drive",FALSE,6287231718
1303440628,"Iain Hotchkin",753353,1930-11-15,6754912227,1,"8 Lawn Center",TRUE,5588139364
1320150322,"Wendeline Karlowicz",536566635,2002-08-13,6386331508,2,"84 Old Gate Road",FALSE,6817375916
1321549504,"Arel Stredder",657647765,1986-11-11,2846840733,2,"693 Dakota Hill",FALSE,4322435491
1472265157,"Brandise Stuckford",6454322455,2003-12-17,9692312348,10,"4 Clyde Gallagher Trail",FALSE,1669324931
1481300377,"Sella Beckitt",866433333,2008-06-19,8127009989,2,"22829 Hooker Terrace",TRUE,3045304729
1527994147,"Avigdor Pervoe",9880090068,2022-06-19,2358430501,7,"59 Westport Center",FALSE,548666679
1559319216,"Lindsey Sherwill",897555544,1987-05-17,3394336480,1,"42249 Independence Trail",TRUE,1573456586
1610347498,"Tilly Pinhorn",3456357375,2018-02-13,7820523956,1,"62170 Troy Plaza",FALSE,7356627868
1634349288,"Tanya Dimmick",766768788,2004-04-20,6172966529,4,"51885 Cherokee Drive",TRUE,8201614569
1700457578,"Werner Neesham",34543634,2012-07-18,907436005,3,"57743 Nevada Junction",FALSE,6390959222
1910143553,"Lyndsey Deason",53733676,2001-03-11,8136537992,8,"75 Lerdahl Court",TRUE,4951048752
1912637936,"Emogene Gaine of England",675477774,2009-06-10,2794433954,3,"8652 Sundown Terrace",TRUE,8180244970
1940416191,"Clifford Loxdale",657564567,2007-09-11,4551238554,4,"80670 Delaware Junction",FALSE,9172192100
2164126955,"Giralda Heffron",88886446,2017-10-17,1582702845,2,"9 Sachtjen Street",FALSE,3477344510
2263997350,"Giraldo Ference",5436456454,2000-11-13,207969337,8,"087 Delladonna Plaza",TRUE,7884417332
2459219075,"Morna Edwicker",5678675645,2003-04-09,1588076873,5,"1 Jenifer Drive",FALSE,8465468508
2581383089,"Sauveur Lotterington",563454565,2027-09-10,2814934295,5,"4 Macpherson Hill",TRUE,7706520412
2628752034,"Truman Lockhurst",435634563,2008-11-19,4042940382,3,"3 Westridge Drive",TRUE,6106378495
2685935126,"Verney Pessler",3563453,2005-10-18,1670868729,2,"71 Blaine Crossing",FALSE,5950687213
3065022702,"Kimball Klejin",90450968,2000-09-20,4725648426,8,"76537 Sheridan Park",FALSE,882839411
3129939091,"Lettie Pirson",553323565,2019-12-11,8967876351,10,"62556 Loomis Lane",TRUE,2151594203
3383064972,"Hilario Tomczynski",900000968,2000-05-19,6478718492,3,"93222 Lerdahl Center",TRUE,847256421
3414667029,"Rhiamon Waycott",5745433,2015-06-11,8414734421,1,"9683 Florence Lane",TRUE,8136536198
3696717258,"Aliza Dahill",536443646,2021-03-14,9908448471,8,"49 Manitowish Pass",TRUE,7123548329
3701472831,"Renae Trustrie",688885646,2019-02-19,8144551109,7,"3557 Sage Court",TRUE,9272557259
3803496861,"Bard Sirrell",988955968,2000-01-19,8282256773,2,"9674 Buhler Alley",TRUE,486316351
3883257230,"Katie Badrock",8888865466,2030-11-14,2751668143,6,"8 Everett Way",FALSE,3436329932
3919670310,"Eberhard Vaune",7543345666,2007-01-17,6507630993,5,"3728 Eastlawn Pass",FALSE,1870033701
4020546517,"Becka Addinall",7755333,2006-04-10,8727508854,7,"1 Cambridge Lane",TRUE,2389749399
4056377693,"Filippo Childerley",5676575855,2031-01-10,1043299459,2,"44452 Sycamore Terrace",TRUE,8740926478
4100728727,"Marcellus Gannicleff",43563456,2008-11-13,9017404825,7,"55779 Mendota Hill",TRUE,5858129102
4116270156,"Angel Fearnehough",777544557,2001-04-16,6318762175,1,"773 8th Circle",TRUE,2862636533
4121431782,"Eugenia Inchley",654767564766,2006-06-15,2657990894,3,"57454 Welch Pass",TRUE,9219215942
4146571073,"Alford Belding",5435365345,2006-03-17,2814204599,2,"07171 Prairieview Avenue",TRUE,5379940714
4193366693,"Glenine Poschel",8886544777,2030-07-11,4867072826,10,"902 Homewood Center",TRUE,3531121081
4439643574,"Horatius Kilfeather",676765445,2013-01-15,5647875661,10,"95 Green Place",FALSE,4291262221
4487270162,"Brit Calow",5467585656,2007-03-01,8939100581,3,"61 Florence Place",FALSE,9873667989
4586099526,"Swen McGurn",88853333,1911-03-14,8411250814,2,"7 Mcbride Lane",TRUE,3667821646
4593231361,"Ronna Possek",456756756,2007-10-11,2929439238,8,"9 Mcguire Crossing",TRUE,9605605201
4854753919,"Madella Jacklin",66666666,1600-02-19,4502579149,1,"5196 Texas Trail",TRUE,1297739302
4958438157,"Gladys Cannings",756868657,2013-02-14,7744415167,10,"5008 Coleman Center",FALSE,9536947838
5129206673,"Zaneta Stebbing",90455558,2000-02-19,8783555846,5,"50 Springs Alley",FALSE,1016842589
5177425878,"Friedrick Caras",356345656,2003-11-01,6307595094,7,"9 Melvin Hill",FALSE,6822912061
5568846952,"Emily Labrum",536534563,2010-07-05,7071059098,6,"69 Glendale Alley",FALSE,6027288477
5731530955,"Cammi Barnaby",7899999544,1902-06-20,5835805063,2,"6915 Heath Lane",FALSE,4198825661
5983500163,"Polly Crispe",536465655,2030-10-18,2256889572,2,"15412 Welch Point",TRUE,6756652656
6003100753,"Wit Glenfield",635356377,1931-03-19,5502151743,9,"4542 Victoria Center",TRUE,7290433807
6072677037,"Aeriell Dagnan",5645647543,2001-04-14,6312777294,10,"620 American Ash Trail",TRUE,8054847319
6134271403,"Karisa Ingram",89887666,1976-06-18,7833386111,6,"130 Judy Street",TRUE,1377672719
6134704687,"Trescha Klaes",5675667576,2017-03-17,2834856281,1,"836 Talmadge Road",FALSE,8728853857
6146337331,"Laraine Chapellow",57535345,2823-04-10,5075186629,7,"3 Meadow Valley Drive",FALSE,5333091641
6292926117,"Corry Sherrett",533565656,2002-01-13,8989287685,8,"0 Cherokee Parkway",TRUE,4715458411
6558982862,"Swen Stokey",75435553,2030-01-18,5708134151,7,"00 David Street",FALSE,5132008577
6559274128,"Pauly Ellershaw",546676547,2000-04-19,2316180760,8,"57987 Dorton Trail",TRUE,9517369514
6598338255,"Kayley Tomasello",77843333,2007-02-18,1398918474,8,"33678 Leroy Lane",TRUE,4081389594
6709473858,"Brose Grono",9867676768,1990-01-19,6697334681,5,"8 Kedzie Point",TRUE,108290190
6735355679,"Ronni Balmer",65667567,1907-06-19,1320858716,10,"5565 Laurel Trail",FALSE,9528962688
6835431881,"Andeee Firth",5365753465,2006-04-19,5557823204,4,"09 Superior Place",FALSE,5451508879
7028572544,"Faina Stebbin",90455458,1987-02-19,8127791679,7,"1 Nevada Court",FALSE,1224671538
7130742534,"Richmound Goudy",999765555,1987-01-15,2129856616,1,"30348 Division Terrace",TRUE,3604906644
7148560047,"Currie Woodwing",73455353,1910-10-16,4842356189,10,"611 Fallview Park",FALSE,7603264898
7279936865,"Spense Keig",986555555,2019-06-12,4308481449,3,"08640 Crest Line Street",TRUE,3937407340
7291370108,"Enrique Kolakowski",9000000876,2001-02-16,4702270583,5,"3270 Tennessee Crossing",TRUE,3890955363
7361295819,"Ralina Stothard",456456546,2015-03-18,2407073525,3,"1 Ramsey Alley",TRUE,7838757894
7511797784,"Gayel Sighart",53636545,2009-11-15,2381032703,4,"2 Golf View Street",FALSE,5366950554
7585470118,"Beaufort Edgin",784456575,2007-09-18,7209686746,3,"98 Kipling Parkway",FALSE,4313537902
7669733594,"Demetria Chadwick",755555555,1924-03-16,2482186269,1,"91987 Jana Avenue",TRUE,1872638252
8254577218,"Filmer O' Loughran",456456456,2006-09-14,6628620123,6,"0 Manitowish Road",FALSE,7893413506
8384240906,"Eran Huntingford",87546788765,2009-04-11,3231605741,4,"48894 Elmside Center",FALSE,3266402529
8421876082,"Shandee Fenemore",67886656,1984-08-13,3779538261,10,"4157 Upham Street",FALSE,8250185692
8557800926,"Neile Dalling",9867678968,1973-05-19,1893636585,3,"14518 Forest Dale Circle",TRUE,168021102
8602027788,"Fields Starsmore",56465555,2017-03-14,1723914037,5,"70 Debs Circle",TRUE,7663297652
8722998926,"Jobie Carlson",57367377,2026-07-19,3709444365,9,"6148 Eggendart Court",FALSE,7572018327
8765306538,"Klarika Norville",435645656,2007-08-01,5371047948,2,"9835 Stang Road",TRUE,6013172846
8892751352,"Bastian Dumingo",88886654,2003-06-18,8428955042,1,"8971 Tony Avenue",FALSE,2748824172
8902026825,"Serge Cheverton",678657856,2007-10-18,6297801541,7,"32 Bellgrove Alley",TRUE,8322708238
8961932144,"Everard Catterall",75345353,2030-11-19,337967121,5,"48 Eastwood Trail",TRUE,5725294501
9198973282,"Kit Carnihan",3566546534,1984-07-08,523488572,8,"99 Chive Street",TRUE,4725465828
9203267735,"Chrissie MacCoughan",77865444,2023-01-22,3952086150,8,"31 Division Street",FALSE,4066653766
9206900498,"Parsifal Spleving",645656456,2006-08-01,9693842995,8,"197 Namekagon Hill",FALSE,9883815689
9214501521,"Isadora Wedgbrow",56355753,2001-11-18,3571688074,6,"44 Drewry Court",FALSE,5330123151
9567664900,"Paige Kettles",75478565476,2006-11-21,7980110420,10,"98 Trailsway Crossing",FALSE,8137801839
9614162066,"Richard Stroulger",99999999,2015-12-18,670130850,3,"30 Union Center",FALSE,2420570561
9660888465,"Tim Birdwhistell",3463456566,2000-09-09,7688756472,8,"622 8th Lane",FALSE,6706186236
